Company,Date,Title,Abstract
3M,"april 7, 2015",hp comes to terms with the cloud,"hewlett-packard has decided it cannot compete with the likes of amazon and google for one of the hottest new businesses. instead, on the eve of its split into two companies, hp is learning about collaborative technologies, and not just for its customers."
3M,"feb. 11, 2014","liquid-cooled supercomputers, to trim the power bill","looking to reduce energy bills and environmental strains, operators of supercomputers are immersing them in cooling liquids."
3M,"dec. 3, 2013",google joins a heavyweight competition in cloud computing,"the search giant, which for years has been evasive about its plans for the cloud, is announcing rates and features for a wide-ranging computing service."
3M,"sept. 17, 2013","headphones for protection, not cranking it up","the 3m tekk protection worktunes headphones keep excessive noise out, and won't damage your ears with loud music levels, either."
3M,"march 21, 2013",addressing fears about led light bulbs,"a column about led light bulbs generated a lot of reader e-mail, probably because led represents change. and change is always scary. david pogue addresses some reader concerns."
3M,"march 20, 2013",new reasons to change light bulbs,"led bulbs last longer and use less power than older ones, and with prices falling, a change makes even more sense."
3M,"feb. 21, 2013","blurry backgrounds, big sensors and bokeh",david pogue analyzes the debate on blurry photo backgrounds and how cameras get them.
3M,"oct. 18, 2012","stanford r. ovshinsky dies at 89, a self-taught maverick in electronics","a self-taught scientist, mr. ovshinsky invented the nickel-metal hybrid battery and contributed to the development of many other devices."
3M,"oct. 25, 2011",ex-apple leaders push the humble thermostat into the digital age,"nest labs, a silicon valley start-up, is trying to transform the household thermostat into a digital assistant that reduces energy consumption."
3M,"may 9, 2011",the ipad in your hand: as fast as a supercomputer of yore,a computer scientist who tracks the mathematical capabilities of computers has found that the ipad 2 is as fast as a supercomputer from years ago.
3M,"april 10, 2011",how to clean a lens the right way,"even something as simple as wiping a lens can be done the wrong way, with disastrous results. here's the right way."
3M,"jan. 19, 2011",headphones that produce quiet and side effects,"headphones that use active noise reduction can leave some users feeling queasy. also, sticky notes on windows 7 and counting characters on iphone text messages."
3M,"dec. 29, 2010",looking for better sound? here's a tip,earbuds shape up with these after-market tips.
3M,"july 3, 2010",did a speeding car just jump out of my cellphone?,"the small screens of cellphones can lend themselves well to glasses-free three-dimensional effects, experts say."
3M,"april 18, 2010",companies slowly join cloud-computing,"amazon, microsoft, google and others are now trying to rent large corporations the remote use of their technology infrastructure, but some concerns remain after a few cautious steps into cloud services."
3M,"march 26, 2010",at&t plans $1 billion charge for health care,at&t said the charge reflected changes to how medicare subsidies were taxed because of the new health care law.
3M,"jan. 22, 2010",projecting a new laptop,pc maker hewlett-packard is expected to add a mini projector to a laptop later this year.
