Company,Date,Title,Abstract,sentiment,sentiment_category,sentiment_abstract,sentiment_category_abstract
3M,2015-04-07,hp comes to terms with the cloud,"hewlett-packard has decided it cannot compete with the likes of amazon and google for one of the hottest new businesses. instead, on the eve of its split into two companies, hp is learning about collaborative technologies, and not just for its customers.",0.0,Neutral,0.5423,Positive
3M,2013-03-21,addressing fears about led light bulbs,"a column about led light bulbs generated a lot of reader e-mail, probably because led represents change. and change is always scary. david pogue addresses some reader concerns.",-0.4215,Negative,-0.4939,Negative
3M,2010-04-18,companies slowly join cloud-computing,"amazon, microsoft, google and others are now trying to rent large corporations the remote use of their technology infrastructure, but some concerns remain after a few cautious steps into cloud services.",0.296,Positive,-0.0644,Neutral
3M,2008-12-26,electric-car battery makers seek federal funds,an alliance of big companies and start-ups wants congress to give it at least $1 billion to support u.s. lithium-ion battery production for electric cars.,0.0,Neutral,0.4019,Positive
3M,2006-08-22,web surfing in public places is a way to court trouble,"any business traveler who has logged on to a wireless network at the airport or checked e-mail at a public terminal has probably wondered, ""is this safe?""",-0.4019,Negative,0.0,Neutral
American Express,2016-12-14,twitter has the right to suspend donald trump. but it shouldn't.,the president-elect's tweets are arguably inciting harassment against his critics. but twitter's conduct rules are too vague to merit banning mr. trump.,-0.1655,Neutral,-0.0644,Neutral
American Express,2016-11-16,social media's globe-shaking power,the election of donald j. trump is perhaps the starkest illustration yet that social networks are helping to rewire human society.,0.0,Neutral,0.296,Positive
American Express,2016-07-12,where pokemon should not go,the digital beasts have been reported at auschwitz and memorials for the holocaust and the sept. 11 attacks.,0.0,Neutral,-0.4404,Negative
American Express,2016-05-18,"twitter, trump's trusty weapon, could backfire","the social media platform has served mr. trump's bombast and provocations well, but such behavior may be poison to a general election campaign.",0.25,Positive,-0.6369,Very Negative
American Express,2016-02-18,public split between concern over terrorism and privacy,"a survey found that 54 percent of the public said they were very or somewhat concerned about the loss of privacy, while 44 percent were not very concerned or not at all concerned.",-0.6808,Very Negative,-0.3182,Negative
American Express,2015-12-10,mark zuckerberg of facebook reassures muslim users,mr. zuckerberg's new openness on social media has met up with business considerations.,0.3612,Positive,0.34,Positive
American Express,2015-08-03,"for mobile messaging, gifs prove to be worth at least a thousand words","animated, looping images are experiencing a surge on mobile devices, growing an industry and providing textless messages for millions of users.",0.2263,Positive,0.1779,Neutral
American Express,2015-05-28,a primer on android pay and google wallet,here is how google's new mobile payments products -- android pay and google wallet -- are set to work.,-0.1027,Neutral,-0.1027,Neutral
American Express,2015-01-23,"sony postpones earnings announcement, blaming hacking attacks","the company said it would delay a quarterly earnings report as a result of disruptions to the computer network at its american film studio, sony pictures entertainment.",-0.802,Very Negative,-0.2263,Negative
American Express,2014-09-17,let the phone be your political adviser,"mobile apps offer news and opinion on politicians and issues, and even information straight from congress and the white house.",0.0,Neutral,0.2263,Positive
American Express,2014-08-20,nickel allergies on rise as devices meet skin,"some consumers are finding that their electronic devices cause allergic reactions, a problem that is increasing as the devices become wearable.",0.0,Neutral,-0.5994,Negative
American Express,2014-06-06,vodafone reveals direct access by governments to customer data,"in a privacy report, the british telecommunications company said that the authorities in certain countries had direct access to its networks without having to use legal warrants.",0.0,Neutral,0.3818,Positive
American Express,2014-04-02,blackberry breaks up with t-mobile,"weeks after a public spat between the two companies' chief executives, blackberry said that it would not allow t-mobile us to sell blackberry phones after april 25.",0.0,Neutral,-0.1695,Neutral
American Express,2014-01-30,a case for cheaper broadband in schools,are america's schools getting a bad deal from government broadband regulation? a group of chief executives and venture capitalists is telling the f.,0.0,Neutral,-0.5423,Negative
American Express,2013-10-08,"encouraging the reviewers, honestly",american express and tripadvisor introduce a new program to make online reviews a bit more transparent.,0.7506,Very Positive,0.0,Neutral
American Express,2013-08-09,trade commission orders ban on some samsung products,"the international trade commission upheld a preliminary finding that samsung's mobile products had violated two apple patents. the decision, unless vetoed by president obama, will result in an import ban on some devices.",-0.5574,Negative,-0.7906,Very Negative
