Date,AABA_Open,AAPL_Open,all_stocks_Open,AMZN_Open,AXP_Open,BA_Open,CAT_Open,CSCO_Open,CVX_Open,GE_Open,GOOGL_Open,GS_Open,HD_Open,IBM_Open,INTC_Open,JNJ_Open,JPM_Open,KO_Open,MCD_Open,MMM_Open,MRK_Open,MSFT_Open,NKE_Open,PFE_Open,PG_Open,TRV_Open,UNH_Open,UTX_Open,VZ_Open,WMT_Open,XOM_Open,AABA_High,AAPL_High,all_stocks_High,AMZN_High,AXP_High,BA_High,CAT_High,CSCO_High,CVX_High,GE_High,GOOGL_High,GS_High,HD_High,IBM_High,INTC_High,JNJ_High,JPM_High,KO_High,MCD_High,MMM_High,MRK_High,MSFT_High,NKE_High,PFE_High,PG_High,TRV_High,UNH_High,UTX_High,VZ_High,WMT_High,XOM_High,AABA_Low,AAPL_Low,all_stocks_Low,AMZN_Low,AXP_Low,BA_Low,CAT_Low,CSCO_Low,CVX_Low,GE_Low,GOOGL_Low,GS_Low,HD_Low,IBM_Low,INTC_Low,JNJ_Low,JPM_Low,KO_Low,MCD_Low,MMM_Low,MRK_Low,MSFT_Low,NKE_Low,PFE_Low,PG_Low,TRV_Low,UNH_Low,UTX_Low,VZ_Low,WMT_Low,XOM_Low,AABA_Close,AAPL_Close,all_stocks_Close,AMZN_Close,AXP_Close,BA_Close,CAT_Close,CSCO_Close,CVX_Close,GE_Close,GOOGL_Close,GS_Close,HD_Close,IBM_Close,INTC_Close,JNJ_Close,JPM_Close,KO_Close,MCD_Close,MMM_Close,MRK_Close,MSFT_Close,NKE_Close,PFE_Close,PG_Close,TRV_Close,UNH_Close,UTX_Close,VZ_Close,WMT_Close,XOM_Close,AABA_Volume,AAPL_Volume,all_stocks_Volume,AMZN_Volume,AXP_Volume,BA_Volume,CAT_Volume,CSCO_Volume,CVX_Volume,GE_Volume,GOOGL_Volume,GS_Volume,HD_Volume,IBM_Volume,INTC_Volume,JNJ_Volume,JPM_Volume,KO_Volume,MCD_Volume,MMM_Volume,MRK_Volume,MSFT_Volume,NKE_Volume,PFE_Volume,PG_Volume,TRV_Volume,UNH_Volume,UTX_Volume,VZ_Volume,WMT_Volume,XOM_Volume
2010-01-04,16.94,30.49,83.09,136.25,40.81,55.72,57.65,24.11,78.2,15.22,313.79,170.05,29.15,131.18,20.79,64.71,41.79,28.58,62.63,83.09,36.82,30.62,16.52,18.27,61.11,50.15,31.38,70.21,33.4,53.74,68.72,17.2,30.64,83.45,136.61,41.1,56.39,59.19,24.84,79.2,15.64,315.07,174.25,29.15,132.97,21.03,64.99,42.99,28.61,63.07,83.45,37.25,31.1,16.52,18.94,61.31,50.44,31.6,71.86,33.45,54.67,69.26,16.88,30.34,82.67,133.14,40.39,54.8,57.51,24.01,78.16,15.15,312.43,169.51,28.55,130.85,20.73,64.41,41.67,28.45,62.31,82.67,36.55,30.59,16.28,18.24,60.63,49.66,30.97,69.86,33.09,53.67,68.19,17.1,30.57,83.02,133.9,40.92,56.18,58.55,24.69,79.06,15.45,313.69,173.08,28.67,132.45,20.88,64.68,42.85,28.52,62.78,83.02,37.01,30.95,16.34,18.93,61.12,49.81,31.53,71.63,33.28,54.23,69.15,16588957.0,123432050.0,3043663.0,7600543.0,6896366.0,6187088.0,7326679.0,59859189.0,10174309.0,67079850.0,1957963.0,9138979.0,13121398.0,6155846.0,47800895.0,9506168.0,35463337.0,13870548.0,5839235.0,3043663.0,13896591.0,38414185.0,11972588.0,52087601.0,9190873.0,3715991.0,12200889.0,6104078.0,15173008.0,20753890.0,27811317.0
2010-01-11,17.22,30.66,82.8,133.43,40.83,56.25,58.55,24.6,79.22,15.46,313.9,173.0,28.73,131.68,20.94,64.58,42.79,28.42,62.66,82.8,37.3,30.85,16.28,18.92,61.13,49.63,31.73,71.64,33.37,54.09,69.19,17.3,30.8,84.6,135.48,42.48,62.31,64.42,24.89,81.09,16.88,314.23,178.75,29.24,131.85,21.15,64.75,45.19,28.5,62.75,84.6,37.92,31.1,16.5,18.95,61.28,49.69,33.13,72.26,33.4,54.44,70.6,16.48,29.78,81.7,128.8,40.37,56.0,58.23,24.17,78.72,15.43,294.85,170.52,28.08,128.67,20.34,63.63,42.78,27.38,61.06,81.7,36.9,30.12,16.16,18.46,59.01,47.35,31.28,69.57,31.42,53.02,68.8,16.74,30.02,83.98,130.31,41.47,60.87,64.13,24.59,80.88,16.76,300.86,171.56,28.16,129.48,20.95,64.22,44.53,28.14,62.32,83.98,37.85,30.27,16.23,18.83,60.2,48.54,32.92,72.16,31.88,54.21,70.3,18322545.6,127064873.6,3784318.2,9137610.8,8665847.2,8973322.8,8891824.4,37470894.2,9756116.8,99455105.8,5069608.8,8552510.2,15153956.6,5643322.4,49152129.0,10124267.6,35759742.6,22606806.4,7471497.8,3784318.2,12450376.4,55692283.2,8958045.6,37414200.0,10154887.0,5591877.6,9433384.2,4836165.2,24269981.8,12836606.0,29600915.0
2010-01-18,16.65,29.88,83.58,128.99,41.27,60.07,63.01,24.44,79.52,16.58,299.34,170.01,28.15,129.03,20.87,64.13,43.99,28.04,62.03,83.58,37.82,30.15,16.15,18.8,60.7,48.99,32.7,71.8,31.78,54.0,69.72,17.25,30.23,84.18,130.38,42.84,61.7,63.16,25.1,80.45,16.92,299.38,170.72,28.69,132.89,21.55,65.26,44.79,28.72,63.29,84.18,40.27,31.24,16.46,19.68,61.86,49.46,33.99,72.93,32.04,55.2,70.04,16.6,29.16,82.87,125.75,41.25,59.91,60.01,24.08,78.28,16.35,287.24,164.58,27.89,129.0,20.38,63.98,42.87,28.02,62.0,82.87,37.32,29.91,15.99,18.64,60.44,48.26,31.54,71.06,30.45,53.6,68.65,16.82,29.42,83.37,127.14,42.39,60.82,60.12,24.4,79.23,16.44,290.29,165.21,28.57,131.78,20.8,64.56,43.68,28.14,62.28,83.37,39.47,30.86,16.1,19.49,60.82,48.79,33.75,71.99,30.58,53.68,69.11,16942280.25,139239896.25,3180690.0,11249311.0,11165964.75,4572974.5,9395880.5,45855364.25,10805899.0,65367387.25,5257897.75,10765291.25,18734350.75,7539630.0,122850780.0,13184666.0,48620248.5,19570692.5,8086920.5,3180690.0,19793826.0,65234276.5,8934966.0,56172258.25,13834836.25,3879564.0,12530357.0,4610869.5,23734768.75,15317025.0,26108320.5
2010-01-25,16.78,29.76,83.82,126.2,42.24,60.6,59.76,24.54,78.96,16.35,291.04,165.01,28.46,131.63,20.9,64.14,43.4,28.11,62.9,83.82,39.55,30.75,16.05,19.53,60.8,48.75,34.56,71.99,30.74,53.91,68.74,16.96,30.79,85.17,129.2,43.25,61.26,61.2,24.88,79.75,16.76,295.51,171.0,29.06,134.25,21.31,65.95,43.75,28.24,64.78,85.17,41.56,31.24,16.2,20.36,61.83,49.7,36.07,72.94,31.34,54.26,69.35,15.74,28.17,81.3,118.12,37.5,57.5,54.02,22.74,74.09,15.95,267.7,152.25,27.51,125.37,19.81,63.05,38.82,26.94,62.75,81.3,38.72,28.84,15.74,18.84,59.22,47.95,32.96,68.56,30.26,52.69,65.69,15.86,29.01,81.83,120.31,37.79,57.78,55.14,22.99,74.55,16.37,270.27,154.98,27.62,126.12,20.32,63.22,39.21,27.18,63.09,81.83,38.76,29.32,15.92,18.85,60.63,48.89,33.0,68.59,30.68,52.88,65.85,19256763.2,194888950.2,4230048.8,10313333.2,16384011.2,4887869.2,10685641.0,51247005.6,10591890.4,92436415.2,5021388.0,23277984.0,14824538.8,10910993.2,82392944.6,13342243.6,76487615.6,20246778.8,9860753.2,4230048.8,19842850.0,67982609.0,10703076.8,69149996.4,13354075.4,4875939.0,22896801.0,4655729.0,23088616.6,15075023.2,33646218.8
2010-02-01,15.82,29.42,81.46,120.56,37.54,57.54,54.99,22.8,74.08,16.33,269.25,154.91,27.5,125.92,20.18,62.64,39.0,27.04,62.75,81.46,38.5,29.2,15.83,18.72,60.17,50.55,32.51,68.0,30.4,52.82,65.64,16.49,30.53,82.84,131.85,39.23,63.4,56.94,23.26,74.88,16.7,275.07,156.5,28.45,127.75,20.39,64.27,40.04,27.47,64.0,82.84,39.01,29.92,16.25,19.1,63.31,51.13,34.09,68.86,30.53,54.15,66.74,14.87,27.18,79.11,113.82,36.83,57.23,51.03,22.35,71.75,16.01,263.07,147.81,27.19,121.9,19.3,62.22,38.07,26.85,62.39,79.11,37.66,27.66,15.76,18.52,59.95,49.98,32.11,66.5,29.13,52.51,64.02,15.05,27.82,80.44,118.87,38.21,61.7,52.94,22.73,73.58,16.25,266.78,153.13,28.39,124.67,19.61,63.09,39.63,27.19,63.89,80.44,38.3,28.41,16.02,18.79,61.99,50.69,33.13,67.55,29.61,53.48,66.18,37074524.6,337950219.6,4601901.6,23775847.0,13271002.8,8566722.0,17201997.0,59713177.6,12773080.8,74428398.4,3589498.4,16708504.8,17032918.4,8860235.2,72718331.8,15142969.6,55087232.2,18704562.0,8320135.0,4601901.6,15213272.0,105586076.6,8848084.8,48932636.4,17043056.8,5299370.0,13566430.0,6082977.6,28843620.2,16209638.4,37151719.6
2010-02-08,15.1,27.99,80.7,118.79,38.68,61.29,53.48,22.81,73.74,16.27,267.75,153.65,28.39,124.79,19.68,63.2,39.8,27.26,63.87,80.7,38.36,28.37,16.07,18.87,61.93,50.6,33.14,67.89,29.56,53.59,66.73,15.6,28.6,81.68,121.0,39.17,62.0,54.0,23.9,74.58,17.03,271.32,159.94,29.05,126.07,20.04,64.2,41.1,27.6,65.75,81.68,39.72,28.79,16.07,19.33,63.04,51.18,34.12,68.43,29.88,54.5,67.23,14.92,27.26,77.25,114.1,36.6,57.14,50.5,22.51,69.55,15.25,261.49,148.87,27.53,121.74,18.95,61.89,37.02,26.26,62.63,77.25,35.82,27.57,15.22,17.6,60.43,49.01,31.84,65.05,28.31,52.76,63.56,14.99,27.73,77.53,116.83,36.79,57.89,50.78,23.5,70.13,15.6,267.0,151.1,28.59,121.88,19.35,62.37,37.7,26.32,62.92,77.53,36.59,27.72,15.32,17.84,61.01,49.05,32.41,65.4,28.37,52.93,64.35,24105061.6,169994662.6,4643983.6,13840677.4,11455675.4,7047089.6,10063455.2,85860085.2,14328460.0,102127280.2,3266277.4,16401188.8,21025306.4,6709113.4,70224122.4,13623957.8,54830709.8,20029103.2,10565823.0,4643983.6,18224448.6,65489601.4,11328414.4,84387801.8,13869355.4,5644267.0,10679549.8,5869891.4,23450466.4,15292039.0,32955201.8
2010-02-15,15.2,28.06,78.28,118.2,37.27,58.62,52.7,23.8,70.89,15.76,270.04,152.7,28.87,122.65,19.64,62.55,38.19,26.84,63.15,78.28,36.93,27.97,15.44,17.87,61.38,49.54,32.72,66.2,28.7,53.21,65.11,15.25,28.81,80.39,120.42,38.54,60.75,56.55,24.0,72.11,15.89,271.04,155.35,29.08,124.2,20.68,63.47,39.5,27.49,63.89,80.39,37.17,28.4,15.79,18.15,62.16,50.49,33.2,67.11,29.2,53.62,65.71,14.48,27.72,77.9,116.0,37.0,58.39,52.45,23.51,70.0,15.35,264.11,149.65,28.4,121.61,19.44,62.11,37.84,26.58,62.54,77.9,35.76,27.58,15.42,17.62,61.01,48.88,32.0,65.01,28.55,52.66,64.16,15.17,28.63,79.18,119.66,38.42,59.65,56.2,23.76,71.01,15.55,266.83,153.93,29.0,124.0,20.43,62.72,38.95,26.99,63.59,79.18,36.92,27.93,15.62,17.8,61.76,50.45,32.18,65.69,28.93,52.9,64.8,24168554.75,138066013.75,4416734.5,7970852.5,10041043.75,5515578.25,13485013.75,52458204.25,12441163.0,77339287.75,2548985.0,11510017.25,15545516.75,6093389.5,68912694.5,10540368.0,39101612.5,25295345.0,7630449.75,4416734.5,16575534.75,63726104.0,8824738.0,58994806.0,11963309.75,5106063.75,10384433.0,5917999.0,17086016.25,12212993.5,28035941.5
2010-02-22,15.23,28.85,80.08,120.06,38.81,60.42,56.77,23.96,71.99,15.7,268.84,155.3,29.12,124.91,20.62,63.25,39.33,27.26,63.5,80.08,37.72,28.13,15.7,17.96,62.6,50.59,32.33,66.06,29.21,53.24,65.44,15.71,29.19,81.76,120.5,39.63,64.47,58.97,24.46,74.38,16.34,274.02,158.19,30.55,128.06,20.97,64.7,41.3,27.96,64.93,81.76,38.18,29.03,16.19,18.15,63.88,53.29,33.21,68.92,29.4,54.25,66.45,15.18,28.46,79.34,114.82,38.59,59.9,56.19,23.74,71.93,15.68,267.42,154.49,28.93,124.11,20.53,62.82,38.75,26.96,63.28,79.34,36.6,28.02,15.58,17.53,62.35,50.26,31.39,65.56,28.9,52.9,65.08,15.49,28.63,80.68,118.01,38.93,63.97,58.03,24.3,72.96,16.25,271.67,156.71,30.32,126.85,20.87,63.49,40.85,27.69,64.77,80.68,37.12,28.73,16.08,17.95,63.42,53.04,33.08,68.4,29.0,53.83,65.4,14752700.0,110486443.2,3132406.4,8324064.0,8899881.2,5236332.2,7534131.8,41316764.4,10921824.0,57505235.6,2544968.6,9728363.2,17218088.0,5648790.6,47698472.8,10404044.4,39416013.6,17220803.2,5477682.4,3132406.4,15014241.0,44369885.0,8619974.4,57466626.6,13188058.6,4873011.2,12760014.6,5002364.8,13702967.4,17590203.6,23924102.6
2010-03-01,15.45,28.57,80.41,118.01,38.74,63.81,57.89,24.16,72.6,16.19,271.77,156.81,30.56,126.48,20.84,63.56,40.9,27.7,64.78,80.41,36.9,28.68,16.08,17.84,63.23,52.73,32.87,68.38,28.92,53.75,65.26,15.83,29.93,81.09,124.66,38.74,64.33,58.39,24.65,73.18,16.32,272.09,160.21,31.55,128.83,20.95,63.85,42.3,27.8,65.55,81.09,37.43,29.05,17.18,18.02,63.96,53.42,34.72,69.8,29.1,54.28,65.87,15.13,27.96,78.64,115.85,37.05,62.0,54.21,23.83,70.78,15.71,260.26,154.32,30.35,125.57,20.22,62.52,39.7,26.12,63.67,78.64,36.05,28.02,15.9,17.43,62.92,52.12,32.36,67.05,28.6,53.25,64.15,15.79,29.86,80.58,124.54,38.13,64.0,57.85,24.6,72.81,15.9,266.61,156.54,31.43,128.57,20.87,63.39,41.83,26.64,63.98,80.58,37.27,29.02,17.06,17.75,63.51,53.08,34.04,69.64,28.99,53.9,65.4,17995225.2,137941382.6,3477936.2,8604060.8,8035781.8,4921906.0,8119728.8,35819142.0,9799340.4,61349719.4,2559754.0,9785485.4,20365774.4,4879421.2,52220627.0,10021311.8,49185901.8,39104598.0,7634811.8,3477936.2,15008113.0,45670080.8,13126535.2,54784283.4,10646516.4,5878492.4,11432949.4,4518335.2,14395575.2,13271033.4,23889175.6
2010-03-08,15.87,29.99,80.74,125.01,38.12,64.64,58.28,24.66,73.18,15.92,268.01,157.18,31.39,128.7,20.99,63.31,41.98,26.69,64.42,80.74,37.58,29.08,17.02,17.87,63.72,53.22,34.11,69.89,29.05,53.83,65.66,16.61,31.44,82.53,130.85,40.34,68.04,59.93,26.36,74.88,16.47,284.12,170.69,32.04,129.09,21.09,64.41,43.03,27.52,65.54,82.53,37.85,29.3,17.24,17.88,64.15,53.99,34.37,71.42,29.72,54.28,66.79,15.52,29.68,80.57,124.43,38.1,64.05,57.81,24.44,72.71,15.83,267.77,156.91,31.27,125.47,20.26,63.02,41.34,26.58,63.25,80.57,36.88,28.24,16.82,17.21,63.03,52.91,32.42,69.43,28.9,53.15,65.08,16.52,31.3,81.31,130.11,39.71,67.24,58.91,26.13,74.64,16.27,281.52,169.84,31.96,126.41,20.77,64.2,42.59,27.23,65.12,81.31,37.35,28.63,17.2,17.35,63.19,53.8,33.1,70.76,29.63,54.15,66.48,23121114.4,131716524.8,3121977.0,7685883.2,9001934.6,5994955.6,6600263.0,63120074.4,8420144.2,60485409.4,3386306.4,11805137.4,14538901.8,6155154.8,50740405.6,14091313.4,30049305.0,24644321.6,7721413.4,3121977.0,11723825.0,55978510.6,7873405.6,68820025.8,9321358.8,3765788.8,9685277.2,4903879.2,15719779.4,11171653.0,23243089.8
