Date,all_stocks_Open,CAT_Open,CVX_Open,IBM_Open,JNJ_Open,JPM_Open,all_stocks_High,CAT_High,CVX_High,IBM_High,JNJ_High,JPM_High,all_stocks_Low,CAT_Low,CVX_Low,IBM_Low,JNJ_Low,JPM_Low,all_stocks_Close,CAT_Close,CVX_Close,IBM_Close,JNJ_Close,JPM_Close,all_stocks_Volume,CAT_Volume,CVX_Volume,IBM_Volume,JNJ_Volume,JPM_Volume
2006-01-09,77.76,57.87,57.25,82.45,61.07,39.83,79.83,61.68,59.58,85.03,63.01,40.72,77.24,57.05,57.06,80.81,61.05,39.3,79.02,61.55,58.95,83.73,62.99,40.67,2505960.0,4593400.0,9364280.0,8764980.0,8529380.0,11796540.0
2006-01-16,79.0,61.35,58.76,83.15,62.52,40.5,79.01,62.66,60.62,84.81,63.1,40.87,76.95,60.64,58.65,82.5,61.42,39.65,77.5,62.33,60.36,83.17,61.82,39.92,1969550.0,3300725.0,6705925.0,5831425.0,7447425.0,13034900.0
2006-01-23,77.1,61.69,60.9,82.8,61.31,39.48,77.62,63.15,62.43,84.7,62.62,39.82,74.81,60.26,60.21,80.92,60.61,37.88,75.7,61.04,62.21,81.41,61.19,38.27,2391860.0,3361360.0,9174300.0,8201420.0,8594860.0,14804360.0
2006-01-30,74.01,60.79,62.05,81.39,60.19,38.27,75.6,68.37,62.72,82.15,61.24,40.04,72.02,60.75,59.8,80.21,58.04,38.06,72.65,67.01,60.75,81.63,58.4,39.85,5058120.0,6209500.0,12916980.0,6336400.0,16949340.0,12369840.0
2006-02-06,72.4,67.0,60.41,81.5,58.15,40.03,73.68,69.34,60.6,82.24,58.42,40.22,70.99,66.64,57.37,78.93,56.65,39.31,71.17,68.7,58.84,79.51,56.85,39.44,3632580.0,4476340.0,11344280.0,7561600.0,13124040.0,10870800.0
2006-02-13,71.16,68.3,58.54,79.5,57.0,39.2,73.42,69.75,58.97,81.91,59.71,40.31,70.3,66.93,56.0,79.3,56.7,39.05,72.91,68.62,56.62,80.44,58.5,39.77,3006020.0,3700440.0,10249860.0,5704520.0,10054700.0,8747280.0
2006-02-20,73.5,69.0,55.85,80.55,58.7,39.66,74.18,72.39,57.39,81.5,59.45,40.82,72.5,68.23,55.41,80.13,58.58,39.65,73.77,72.05,57.17,80.71,59.07,40.78,2948475.0,4295075.0,11467650.0,5434225.0,9199725.0,12170350.0
2006-02-27,73.67,72.0,57.99,80.1,59.13,40.63,74.66,73.99,58.4,81.65,59.32,41.95,72.85,71.68,56.79,79.85,57.42,40.55,73.69,73.5,57.1,80.63,57.91,41.58,2756120.0,4120980.0,8225800.0,4760920.0,8460380.0,9413760.0
2006-03-06,73.7,73.1,56.69,80.1,57.81,41.59,74.19,75.5,57.59,80.83,58.26,42.09,71.54,72.4,55.81,79.51,57.42,40.97,71.95,73.22,55.85,80.0,57.85,41.43,2829540.0,3955960.0,9130840.0,4931000.0,7538540.0,11074360.0
2006-03-13,71.8,73.01,55.85,80.01,57.53,41.02,73.07,74.02,55.94,82.4,59.37,41.74,71.33,70.34,53.76,79.86,57.53,40.87,72.09,71.0,55.18,81.93,59.08,41.06,2285720.0,5426180.0,11680140.0,4714020.0,8203200.0,10031540.0
2006-03-20,72.18,71.0,55.2,81.51,59.15,41.26,75.46,77.11,58.04,83.76,60.55,41.55,72.18,71.0,55.03,81.47,59.03,40.99,75.0,75.85,56.75,83.58,60.48,41.45,3125820.0,5259500.0,9278120.0,4897480.0,9005400.0,12552200.0
2006-03-27,75.2,75.9,56.6,83.82,60.78,41.27,77.23,77.21,58.42,84.99,61.1,42.43,74.63,74.19,56.15,82.58,59.75,41.0,76.84,75.38,58.21,83.08,59.94,42.11,3166600.0,4001100.0,7369820.0,5117520.0,6909360.0,11005220.0
2006-04-03,76.84,75.55,58.41,82.86,59.8,41.93,78.74,76.23,59.29,83.7,59.87,42.46,75.61,71.3,57.54,82.2,59.06,41.12,75.84,73.5,58.34,83.06,59.17,41.93,3782120.0,5160100.0,7445700.0,4718640.0,8308380.0,10790940.0
2006-04-10,76.52,74.1,58.35,83.05,59.27,41.6,82.08,76.15,59.84,84.45,59.31,42.66,76.52,73.49,58.06,82.0,57.52,41.5,80.98,75.45,59.72,82.1,57.71,41.88,4713040.0,4269420.0,6433120.0,4658760.0,8606460.0,9590940.0
2006-04-17,80.17,76.22,59.9,81.83,57.71,42.0,81.54,78.8,60.53,82.92,58.02,42.42,79.31,75.5,58.0,80.63,57.32,41.48,80.26,76.45,59.32,81.64,57.65,42.0,2541200.0,5354125.0,6246825.0,4824825.0,7993350.0,7310800.0
2006-04-24,80.36,77.05,59.85,81.89,57.7,42.22,85.9,80.0,61.69,84.0,58.61,42.99,80.34,76.73,59.39,81.1,57.67,42.07,85.46,77.38,60.99,82.11,58.33,42.68,5042120.0,6863720.0,9764740.0,7486720.0,9515480.0,10434540.0
2006-05-01,85.0,77.28,61.39,81.95,58.32,42.53,85.73,77.28,62.0,84.4,58.92,45.9,84.4,73.85,58.7,81.6,58.12,42.11,84.97,75.63,61.17,82.23,58.59,44.78,3006160.0,5395580.0,9318140.0,7178780.0,9364360.0,16851900.0
2006-05-08,85.15,75.94,61.57,82.11,58.77,45.0,88.35,80.89,62.95,83.34,58.96,46.8,83.58,75.82,61.05,82.0,58.19,44.91,88.13,79.9,62.01,82.89,58.71,46.1,3521040.0,3977200.0,8419160.0,4488600.0,7155260.0,13346360.0
2006-05-15,87.61,80.0,61.96,82.49,58.7,45.94,87.8,82.03,63.65,83.69,60.01,46.35,86.07,76.22,59.96,81.8,58.25,44.25,87.12,77.47,60.56,82.89,59.97,44.54,2908140.0,4154800.0,12561560.0,4848440.0,9162660.0,11023400.0
2006-05-22,87.12,77.96,60.8,83.0,59.96,44.6,87.33,78.97,61.82,83.25,60.79,44.8,82.59,71.95,57.02,79.4,59.63,42.34,83.73,72.87,58.22,80.02,59.86,42.64,3169640.0,6750280.0,10224260.0,5826260.0,10653340.0,12067240.0
2006-05-29,83.6,73.71,58.97,80.25,60.15,42.74,84.23,75.2,59.93,81.3,60.93,43.38,82.65,72.18,56.63,79.06,59.97,41.59,83.87,74.42,59.83,80.75,60.69,43.23,2587525.0,4669375.0,9550625.0,4993975.0,9530650.0,11308675.0
2006-06-05,83.5,74.43,60.0,80.35,60.48,42.9,85.23,74.44,61.29,80.96,61.01,44.2,82.88,68.81,58.41,79.01,59.82,42.17,82.95,69.33,59.35,79.06,60.13,42.97,2468120.0,4333700.0,10351660.0,5818020.0,7070320.0,9314060.0
2006-06-12,83.2,69.25,59.36,79.06,60.44,42.97,83.91,70.02,59.72,80.74,61.75,43.18,79.24,64.41,55.41,76.75,60.36,41.25,80.16,66.32,57.59,77.02,61.38,41.6,3525940.0,8937960.0,12661160.0,7942640.0,9546920.0,10841120.0
2006-06-19,80.35,65.63,57.59,77.14,61.55,41.35,81.34,71.45,59.74,78.78,61.75,41.88,78.89,65.41,56.69,76.82,60.92,39.33,79.43,69.95,57.51,77.67,61.35,39.95,3018320.0,6450920.0,11430220.0,6705840.0,10312760.0,15348720.0
2006-06-26,79.43,70.38,57.76,77.84,61.37,40.14,81.32,73.45,59.85,78.56,62.0,41.67,79.05,70.2,57.43,76.8,59.5,39.85,80.21,72.48,59.68,77.15,60.21,41.5,2062460.0,4017720.0,6948000.0,5055640.0,8572520.0,11616740.0
2006-07-03,80.4,71.6,60.0,77.32,60.22,40.69,81.75,75.43,63.0,78.27,60.38,42.99,78.61,71.41,59.96,76.06,58.97,40.69,81.12,74.77,62.75,78.02,60.15,42.87,2205220.0,3295300.0,7521480.0,5306900.0,8389980.0,12612440.0
2006-07-10,80.9,73.7,62.76,78.0,59.8,42.87,81.6,74.24,65.0,78.53,60.99,42.87,72.82,72.36,62.55,75.87,59.8,42.04,73.11,73.27,64.27,76.67,60.95,42.58,9503775.0,3538650.0,8399075.0,5544650.0,5571150.0,8356775.0
2006-07-17,73.25,73.28,64.53,76.25,60.95,42.36,73.72,73.61,66.79,76.65,61.3,43.23,70.17,68.8,64.5,73.2,60.15,40.4,70.66,69.19,64.87,73.7,60.91,40.73,4820520.0,4701680.0,10870040.0,7398880.0,7222140.0,9636960.0
2006-07-24,70.9,69.6,65.4,73.7,60.8,40.95,71.72,71.87,66.64,77.06,62.0,44.35,69.92,67.1,64.41,72.73,59.68,40.52,71.69,70.52,66.27,75.99,61.98,44.2,4631200.0,7841540.0,9094020.0,9893540.0,7762740.0,16401660.0
